BuyerID,ProductID,Quantity,OrderDate,ShippingOption
5,2,8,2024-09-19,Pickup
5,3,3,2024-09-20,Pickup
5,6,9,2024-09-16,Delivery
6,3,1,2024-09-27,Delivery
6,1,2,2024-09-04,Pickup
6,1,1,2024-09-17,Delivery
6,3,6,2024-09-14,Pickup
6,6,5,2024-09-06,Pickup
6,5,4,2024-09-28,Delivery
6,5,5,2024-09-14,Pickup
7,6,1,2024-09-10,Pickup
7,2,1,2024-09-17,Delivery
8,5,5,2024-09-28,Delivery
8,5,7,2024-09-25,Delivery
8,2,9,2024-09-19,Pickup
8,1,8,2024-09-25,Delivery
8,2,3,2024-09-12,Pickup
8,5,9,2024-09-17,Delivery
8,2,9,2024-09-10,Delivery
